zip5	dorminant_race	dorminant_income	parents_with_children
00767	hispanic	inc_25k	0.33208908796814735
00769	hispanic	inc_25k	0.3987491149398159
00771	hispanic	inc_25k	0.3744080604534005
00772	hispanic	inc_25k	0.34983498349834985
00773	hispanic	inc_25k	0.332151562153778
00775	hispanic	inc_25k	0.30980392156862746
00777	hispanic	inc_25k	0.43415405466455836
00778	hispanic	inc_25k	0.4025372719696268
00780	hispanic	inc_25k	0.4086090587857372
00782	hispanic	inc_25k	0.3401688781664656
00783	hispanic	inc_25k	0.2924187725631769
00784	hispanic	inc_25k	0.388877317225578
00786	hispanic	inc_25k	0.10101010101010101
00791	hispanic	inc_25k	0.3679050103445174
00794	hispanic	inc_25k	0.33303684879288437
00795	hispanic	inc_25k	0.3878862326372484
007MH	hispanic	inc_25k	""
007MX	hispanic	inc_25k	""
00901	hispanic	inc_25k	0.3563218390804598
00907	hispanic	inc_25k	0.29960871995528227
00909	hispanic	inc_25k	0.37523809523809526
00911	hispanic	inc_25k	0.4004461795872839
00912	hispanic	inc_25k	0.2396694214876033
00913	hispanic	inc_25k	0.6260536398467433
00915	hispanic	inc_25k	0.42433795712484235
00917	hispanic	inc_25k	0.3181818181818182
00918	hispanic	inc_25k	0.24260355029585798
00920	hispanic	inc_25k	0.4262694397601649
00921	hispanic	inc_25k	0.3827534039334342
00923	hispanic	inc_25k	0.3730802415875755
00924	hispanic	inc_25k	0.43099068585944117
00925	hispanic	inc_25k	0.3962703962703963
00926	hispanic	inc_25k	0.34545233954786264
00927	hispanic	inc_25k	0.28884625924910934
00934	hispanic	inc_25k	0.08695652173913043
00936	hispanic	inc_25k	""
00949	hispanic	inc_25k	0.3541488938178923
00952	hispanic	inc_25k	0.3519293351929335
00953	hispanic	inc_25k	0.39938195302843016
00956	hispanic	inc_25k	0.3727512894703736
00957	hispanic	inc_25k	0.3632155256832547
00959	hispanic	inc_25k	0.393215859030837
00961	hispanic	inc_25k	0.3459039368072366
00962	hispanic	inc_25k	0.37280617164898744
00963	hispanic	inc_25k	0.25
00965	hispanic	inc_25k	0.3134073441502989
00966	hispanic	inc_25k	0.363037173741102
00968	hispanic	inc_25k	0.26342710997442453
00969	hispanic	inc_25k	0.3409438625397199
00971	hispanic	inc_25k	0.3986013986013986
00976	hispanic	inc_25k	0.35438822017062055
00979	hispanic	inc_25k	0.26595238095238094
00982	hispanic	inc_25k	0.3241430700447094
00983	hispanic	inc_25k	0.3479652964263582
00985	hispanic	inc_25k	0.3643701682582992
00987	hispanic	inc_25k	0.43048825941110697
01001	white	inc_50k_75k	0.35220440881763526
01002	white	inc_25k	0.4324100868127325
01003	white	inc_25k	0.4117647058823529
01005	white	inc_50k_75k	0.3661513425549227
01007	white	inc_100k_150k	0.4067630482724822
01008	white	inc_100k_150k	0.2572944297082228
01009	white	inc_75k_100k	0.22580645161290322
01010	white	inc_100k_150k	0.3852772466539197
01011	white	inc_100k_150k	0.3241206030150754
01012	white	inc_100k_150k	0.3641304347826087
01013	white	inc_25k	0.4631320224719101
01020	white	inc_25k_50k	0.3423042419582212
01022	white	inc_25k_50k	0.38333333333333336
01026	white	inc_25k_50k	0.4230769230769231
01027	white	inc_25k_50k	0.3633164723993842
01028	white	inc_100k_150k	0.4294793449034466
01029	white	inc_25k_50k	0.2765957446808511
01030	white	inc_25k_50k	0.3466707391569945
01031	white	inc_25k	0.36246786632390743
01032	white	inc_100k_150k	0.30275229357798167
